feature_name,variable_name,description,category,type,possible_codes,possible_values
Basement Type,char_bsmt,Basement type,Characteristic,categorical,"1, 2, 3, 4","Full, Slab, Partial, Crawl"
Basement Finish,char_bsmt_fin,Basement finish,Characteristic,categorical,"1, 2, 3","Formal Rec Room, Apartment, Unfinished"
Property Class,char_class,Card-level property type and/or use,Characteristic,character,,
Exterior Wall Material,char_ext_wall,Exterior wall construction,Characteristic,categorical,"1, 2, 3, 4","Frame, Masonry, Frame + Masonry, Stucco"
Full Baths,char_fbath,Number of full bathrooms,Characteristic,numeric,,
Fireplaces,char_frpl,Number of fireplaces,Characteristic,numeric,,
Garage 1 Attached,char_gar1_att,Indicator for garage attached,Characteristic,categorical,"1, 2","Yes, No"
Garage 1 Ext. Wall Material,char_gar1_cnst,Garage exterior wall construction,Characteristic,categorical,"1, 2, 3, 4","Frame, Masonry, Frame + Masonry, Stucco"
Garage 1 Size,char_gar1_size,Garage size (number of cars),Characteristic,categorical,"1, 2, 3, 4, 5, 6, 7, 8","1 cars, 1.5 cars, 2 cars, 2.5 cars, 3 cars, 3.5 cars, 0 cars, 4 cars"
Half Baths,char_hbath,Number of half baths,Characteristic,numeric,,
Land Square Feet,char_land_sf,Square footage of the land (not just the building) of the property,Characteristic,numeric,,
Central Heating,char_heat,Interior heating type,Characteristic,categorical,"1, 2, 3, 4","Warm Air Furnace, Hot Water Steam, Electric Heater, None"
Number of Commercial Units,char_ncu,Number of commercial units,Characteristic,numeric,,
Porch,char_porch,Porch type,Characteristic,categorical,"0, 1, 2","None, Frame Enclosed, Masonry Enclosed"
Roof Material,char_roof_cnst,Roof material / construction,Characteristic,categorical,"1, 2, 3, 4, 5, 6","Shingle + Asphalt, Tar + Gravel, Slate, Shake, Tile, Other"
Rooms,char_rooms,Number of total rooms in the building (excluding baths),Characteristic,numeric,,
Cathedral Ceiling,char_tp_dsgn,Deprecated,Characteristic,categorical,"1, 2","Yes, No"
Type of Residence,char_type_resd,Type of residence,Characteristic,categorical,"1, 2, 3, 4, 5, 9.9","1 Story, 2 Story, 3 Story +, Split Level, 1.5 Story, Missing"
Recent Renovation,char_recent_renovation,Indicates whether or not a property was renovated within the last 3 years,Characteristic,logical,,
Longitude,loc_longitude,X coordinate in degrees (global longitude),Location,numeric,,
Latitude,loc_latitude,Y coordinate in degrees (global latitude),Location,numeric,,
Census Tract GEOID,loc_census_tract_geoid,11-digit ACS/Census tract GEOID,Location,character,,
First Street Factor,loc_env_flood_fs_factor,"First Street flood factor  The flood factor is a risk score, where 10 is the highest risk and 1 is the lowest risk",Location,numeric,,
School Elementary District GEOID,loc_school_elementary_district_geoid,School district (elementary) GEOID,Location,character,,
School Secondary District GEOID,loc_school_secondary_district_geoid,School district (secondary) GEOID,Location,character,,
CMAP Walkability Score (No Transit),loc_access_cmap_walk_nta_score,"CMAP walkability score for a given PIN, excluding transit walkability",Location,numeric,,
CMAP Walkability Total Score,loc_access_cmap_walk_total_score,"CMAP walkability score for a given PIN, including transit walkability",Location,numeric,,
Municipality Name,loc_tax_municipality_name,"Taxing district name, as seen on Cook County tax bills",Location,character,,
Township Code,meta_township_code,Cook County township code,Meta,character,,
Neighborhood Code,meta_nbhd_code,Assessor neighborhood code,Meta,character,,
Number of sales within previous N years of sale/lien date,meta_sale_count_past_n_years,Number of sales within previous N years of sale/lien date,Meta,numeric,,
Property Tax Bill Aggregate Rate,other_tax_bill_rate,Tax bill rate for the taxing district containing a given PIN,Other,numeric,,
Standard Deviation Distance From Parcel Centroid to Vertices (Feet),shp_parcel_centroid_dist_ft_sd,Standard deviation of the distance from each major parcel vertex to the parcel centroid,Parcel Shape,numeric,,
Standard Deviation Parcel Edge Length (Feet),shp_parcel_edge_len_ft_sd,Standard deviation of the edge length between parcel vertices,Parcel Shape,numeric,,
Standard Deviation Parcel Interior Angle (Degrees),shp_parcel_interior_angle_sd,Standard deviation of the interior angles of the parcel polygon,Parcel Shape,numeric,,
Ratio of Parcel Area to Minimum Rotated Bounding Rectangle,shp_parcel_mrr_area_ratio,Ratio of the parcel's area to the area of its minimum rotated bounding rectangle,Parcel Shape,numeric,,
Ratio of Parcel Minimum Rotated Bounding Rectangle Longest to Shortest Side,shp_parcel_mrr_side_ratio,Ratio of the longest to the shortest side of the parcel's minimum rotated bounding rectangle,Parcel Shape,numeric,,
Number of Parcel Vertices,shp_parcel_num_vertices,The number of vertices of the parcel,Parcel Shape,numeric,,
Number of PINs in Half Mile,prox_num_pin_in_half_mile,Number of PINs within half mile,Proximity,numeric,,
Number of Bus Stops in Half Mile,prox_num_bus_stop_in_half_mile,Number of bus stops within half mile,Proximity,numeric,,
Number of Foreclosures Per 1000 PINs (Past 5 Years),prox_num_foreclosure_per_1000_pin_past_5_years,"Number of foreclosures per 1000 PINs, within half mile (past 5 years)",Proximity,numeric,,
Average School Rating in Half Mile,prox_avg_school_rating_in_half_mile,Average school rating of schools within half mile,Proximity,numeric,,
Total Airport Noise DNL,prox_airport_dnl_total,"Estimated DNL for a PIN, assuming a baseline DNL of 50 (""quiet suburban"") and adding predicted noise from O'Hare and Midway airports to that baseline",Proximity,numeric,,
Nearest Bike Trail Distance (Feet),prox_nearest_bike_trail_dist_ft,Nearest bike trail distance (feet),Proximity,numeric,,
Nearest Cemetery Distance (Feet),prox_nearest_cemetery_dist_ft,Nearest cemetery distance (feet),Proximity,numeric,,
Nearest CTA Route Distance (Feet),prox_nearest_cta_route_dist_ft,Nearest CTA route distance (feet),Proximity,numeric,,
Nearest CTA Stop Distance (Feet),prox_nearest_cta_stop_dist_ft,Nearest CTA stop distance (feet),Proximity,numeric,,
Nearest Hospital Distance (Feet),prox_nearest_hospital_dist_ft,Nearest hospital distance (feet),Proximity,numeric,,
Lake Michigan Distance (Feet),prox_lake_michigan_dist_ft,Distance to Lake Michigan shoreline (feet),Proximity,numeric,,
Nearest Metra Route Distance (Feet),prox_nearest_metra_route_dist_ft,Nearest Metra route distance (feet),Proximity,numeric,,
Nearest Metra Stop Distance (Feet),prox_nearest_metra_stop_dist_ft,Nearest Metra stop distance (feet),Proximity,numeric,,
Nearest Park Distance (Feet),prox_nearest_park_dist_ft,Nearest park distance (feet),Proximity,numeric,,
Nearest Railroad Distance (Feet),prox_nearest_railroad_dist_ft,Nearest railroad distance (feet),Proximity,numeric,,
Nearest University Distance (Feet),prox_nearest_university_dist_ft,Nearest university distance (feet),Proximity,numeric,,
Nearest Vacant Land Parcel Distance (Feet),prox_nearest_vacant_land_dist_ft,Nearest vacant land (class 100) parcel distance (feet),Proximity,numeric,,
Nearest Water Distance (Feet),prox_nearest_water_dist_ft,Nearest water distance (feet),Proximity,numeric,,
Nearest Golf Course Distance (Feet),prox_nearest_golf_course_dist_ft,Nearest golf course distance (feet),Proximity,numeric,,
Nearest Highway Distance (Feet),prox_nearest_road_highway_dist_ft,Distance to nearest highway road,Proximity,numeric,,
Nearest Arterial Road Distance (Feet),prox_nearest_road_arterial_dist_ft,Distance to nearest arterial road,Proximity,numeric,,
Nearest Collector Road Distance (Feet),prox_nearest_road_collector_dist_ft,Distance to nearest collector road,Proximity,numeric,,
Average Daily Traffic Count on Nearest Arterial Road,prox_nearest_road_arterial_daily_traffic,Daily traffic of nearest arterial road,Proximity,numeric,,
Average Daily Traffic Count on Nearest Collector Road,prox_nearest_road_collector_daily_traffic,Daily traffic of nearest collector road,Proximity,numeric,,
Nearest New Construction (Feet),prox_nearest_new_construction_dist_ft,Nearest new construction distance (feet),Proximity,numeric,,
Nearest Major Stadium (Feet),prox_nearest_stadium_dist_ft,Nearest stadium distance (feet),Proximity,numeric,,
Sale Year,time_sale_year,Sale year calculated as the number of years since 0 B.C.E,Time,numeric,,
Sale Day,time_sale_day,"Sale day calculated as the number of days since January 1st, 1997",Time,numeric,,
Sale Quarter of Year,time_sale_quarter_of_year,Character encoding of quarter of year (Q1 - Q4),Time,character,,
Sale Month of Year,time_sale_month_of_year,Character encoding of month of year (Jan - Dec),Time,character,,
Sale Day of Year,time_sale_day_of_year,Numeric encoding of day of year (1 - 365),Time,numeric,,
Sale Day of Month,time_sale_day_of_month,Numeric encoding of day of month (1 - 31),Time,numeric,,
Sale Day of Week,time_sale_day_of_week,Numeric encoding of day of week (1 - 7),Time,numeric,,
Sale After COVID-19,time_sale_post_covid,"Indicator for whether sale occurred after COVID-19 was widely publicized (around March 15, 2020)",Time,logical,,
